
LAPTOP-U5PI9T6R

"Computer Name:","LAPTOP-U5PI9T6R"
"Computer Brand Name:","Acer Aspire A715-74G"
"Operating System:","Microsoft Windows 10 Professional (x64) Build 17763.737 (1809/RS5)"
"UEFI Boot:","Present"
"Secure Boot:","Present"

Central Processor(s)

"Number Of Processor Packages (Physical):","1"
"Number Of Processor Cores:","6"
"Number Of Logical Processors:","12"

Intel Core i7-9750H

"Processor Name:","Intel Core i7-9750H"
"Original Processor Frequency:","2600.0 MHz"
"Original Processor Frequency [MHz]:","2600"
"CPU ID:","000906EA"
"CPU Brand Name:","Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz"
"CPU Vendor:","GenuineIntel"
"CPU Stepping:","U0"
"CPU Code Name:","Coffee Lake-H"
"CPU Technology:","14 nm"
"CPU QDF:","QRR2 (QS)"
"CPU Thermal Design Power (TDP):","45.0 W"
"CPU Power Limit 4 (PL4):","128.0 W"
"CPU Power Limits (Max):","Power = Unlimited, Time = Unlimited"
"CPU Power Limit 1 - Long Duration:"," (45.00 W) (28.00 sec) [Unlocked]"
"CPU Power Limit 2 - Short Duration:"," (56.25 W) (2.44 ms) [Unlocked]"
"Configurable TDP Level 1 (Down):","35.00 W (Unlimited range), 2200 MHz"
"Current Configurable TDP Level:","Nominal [Unlocked]"
"CPU Max. Junction Temperature (Tj,max):","100 °C"
"CPU Type:","Engineering Sample"
"CPU Platform:","BGA1440"
"Microcode Update Revision:","AA"
"Favored Cores List:","0, 1, 2, 3, 4, 5"
"Number of CPU Cores:","6"
"Number of Logical CPUs:","12"
"CPU MFM (LowPower):","800.0 MHz = 8 x 100.0 MHz"
"CPU LFM (Minimum):","800.0 MHz = 8 x 100.0 MHz"
"CPU HFM (Base):","2600.0 MHz = 26 x 100.0 MHz"
"CPU Turbo Max:","4500.0 MHz = 45 x 100.0 MHz [Unlocked]"
"Turbo Ratio Limits - IA/SSE:","45x (1c), 44x (2c), 43x (3c), 42x (4c), 41x (5c), 40x (6c)"
"Turbo Ratio Limits - AVX2, Resolved:","45x (1c), 44x (2c), 43x (3c), 42x (4c), 41x (5c), 40x (6c)"
"CPU Current:","4188.7 MHz = 42 x 99.7 MHz @ 1.1978 V"
"LLC/Ring Maximum:","4200.0 MHz = 42.00 x 100.0 MHz"
"LLC/Ring Current:","3889.5 MHz = 39.00 x 99.7 MHz"
"System Agent Current:","997.3 MHz = 10.00 x 99.7 MHz"
"CPU Bus Type:","Intel Direct Media Interface (DMI) v3.0"
"Maximum DMI Link Speed:","8.0 GT/s"
"Current DMI Link Speed:","8.0 GT/s"
"Ring to Core Offset:","Enabled"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","45x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","128.00 A"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Supported"
"Fused Ratio Limit:","60x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","32.00 A"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","42x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","128.00 A"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Supported"
"Fused Ratio Limit:","60x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","32.00 A"
"Voltage Offset:","Supported"
"Voltage Override:","Not Supported"
"Ratio Overclocking:","Not Supported"
