
LAPTOP-3S3IK491

"Computer Name:","LAPTOP-3S3IK491"
"Computer Brand Name:","LENOVO Lenovo Yoga S740-14IIL"
"Operating System:","Microsoft Windows 10 Home (x64) Build 18362.418 (1903/May 2019 Update)"
"UEFI Boot:","Present"
"Secure Boot:","Present"

Central Processor(s)

"Number Of Processor Packages (Physical):","1"
"Number Of Processor Cores:","4"
"Number Of Logical Processors:","8"

Intel Core i7-1065G7

"Processor Name:","Intel Core i7-1065G7"
"Original Processor Frequency:","1500.0 MHz"
"Original Processor Frequency [MHz]:","1500"
"CPU ID:","000706E5"
"CPU Brand Name:","Intel(R) Core(TM) i7-1065G7 CPU @ 1.30GHz"
"CPU Vendor:","GenuineIntel"
"CPU Stepping:","D1"
"CPU Code Name:","Ice Lake-U"
"CPU Technology:","10 nm"
"CPU S-Spec:","SRG0N"
"CPU Thermal Design Power (TDP):","15.0 W"
"CPU Power Limit 4 (PL4):","129.0 W"
"CPU Power Limits (Max):","Power = Unlimited, Time = Unlimited"
"CPU Power Limit 1 - Long Duration:"," (30.00 W) (32.00 sec) [Unlocked]"
"CPU Power Limit 2 - Short Duration:"," (51.00 W) (2.44 ms) [Unlocked]"
"Configurable TDP Level 1 (Down):","12.00 W (Unlimited range), 1000 MHz"
"Configurable TDP Level 2 (Up):","25.00 W (Unlimited range), 1500 MHz"
"Current Configurable TDP Level:","Nominal [Unlocked]"
"CPU Max. Junction Temperature (Tj,max):","100 °C"
"CPU Type:","Production Unit"
"CPU Platform:","BGA1526"
"Microcode Update Revision:","32"
"Favored Cores List:","0"
"Number of CPU Cores:","4"
"Number of Logical CPUs:","8"
"CPU LFM (Minimum):","400.0 MHz = 4 x 100.0 MHz"
"CPU HFM (Base):","1500.0 MHz = 15 x 100.0 MHz"
"CPU Turbo Max:","3900.0 MHz = 39 x 100.0 MHz [Unlocked]"
"Turbo Ratio Limits - IA/SSE:","39x (1c), 38x (2c), 35x (3-4c)"
"Turbo Ratio Limits - AVX2, Resolved:","39x (1c), 38x (2c), 35x (3-4c)"
"CPU Current:","3890.5 MHz = 39 x 99.8 MHz @ 1.1224 V"
"LLC/Ring Maximum:","3600.0 MHz = 36.00 x 100.0 MHz"
"LLC/Ring Current:","3591.2 MHz = 36.00 x 99.8 MHz @ 1.0935 V"
"CPU Bus Type:","OPI"
"PCI-Express Current Clock:","99.8 MHz = 1.00 x 99.8 MHz"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","39x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","70.00 A"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","22x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","70.00 A"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","36x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","70.00 A"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","N/A"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"L1 Cache:","Instruction: 4 x 32 KBytes, Data: 4 x 48 KBytes"
"L2 Cache:","Integrated: 4 x 512 KBytes"
"L3 Cache:","8 MBytes"
"Instruction TLB:","Unknown"
"Data TLB:","Unknown"
"FPU on Chip","Present"
"Enhanced Virtual-86 Mode","Present"
"I/O Breakpoints","Present"
"Page Size Extensions","Present"
"Time Stamp Counter","Present"
"Pentium-style Model Specific Registers","Present"
"Physical Address Extension","Present"
"Machine Check Exception","Present"
"CMPXCHG8B Instruction","Present"
"APIC On Chip / PGE (AMD)","Present"
"Fast System Call","Present"
"Memory Type Range Registers","Present"
"Page Global Feature","Present"
"Machine Check Architecture","Present"
"CMOV Instruction","Present"
"Page Attribute Table","Present"
"36-bit Page Size Extensions","Present"
"Processor Number","Not Present"
"CLFLUSH Instruction","Present"
"Debug Trace and EMON Store","Present"
"Internal ACPI Support","Present"
"MMX Technology","Present"
"Fast FP Save/Restore (IA MMX-2)","Present"
"Streaming SIMD Extensions","Present"
"Streaming SIMD Extensions 2","Present"
"Self-Snoop","Present"
"Multi-Threading Capable","Present"
"Automatic Clock Control","Present"
"IA-64 Processor","Not Present"
"Signal Break on FERR","Present"
"Virtual Machine Extensions (VMX)","Present"
"Safer Mode Extensions (Intel TXT)","Not Present"
"Streaming SIMD Extensions 3","Present"
"Supplemental Streaming SIMD Extensions 3","Present"
"Streaming SIMD Extensions 4.1","Present"
"Streaming SIMD Extensions 4.2","Present"
"AVX Support","Present"
"Fused Multiply Add (FMA)","Present"
"Carryless Multiplication (PCLMULQDQ)/GFMUL","Present"
"CMPXCHG16B Support","Present"
"MOVBE Instruction","Present"
"POPCNT Instruction","Present"
"XSAVE/XRSTOR/XSETBV/XGETBV Instructions","Present"
"XGETBV/XSETBV OS Enabled","Present"
"Float16 Instructions","Present"
"AES Cryptography Support","Present"
"Random Number Read Instruction (RDRAND)","Present"
"Extended xAPIC","Present"
"MONITOR/MWAIT Support","Present"
"Thermal Monitor 2","Present"
"Enhanced SpeedStep Technology","Present"
"L1 Context ID","Not Present"
"Send Task Priority Messages Disabling","Present"
"Processor Context ID","Present"
"Direct Cache Access","Not Present"
"TSC-deadline Timer","Present"
"Performance/Debug Capability MSR","Present"
"IA32 Debug Interface Support","Present"
"64-Bit Debug Store","Present"
"CPL Qualified Debug Store","Present"
"64-bit Extensions","Present"
"RDTSCP and TSC_AUX Support","Present"
"1 GB large page support","Present"
"No Execute","Present"
"SYSCALL/SYSRET Support","Present"
"Bit Manipulation Instructions Set 1","Present"
"Bit Manipulation Instructions Set 2","Present"
"Advanced Vector Extensions 2 (AVX2)","Present"
"Advanced Vector Extensions 512 (AVX-512)","Present"
"AVX-512 Prefetch Instructions","Not Present"
"AVX-512 Exponential and Reciprocal Instructions","Not Present"
"AVX-512 Conflict Detection Instructions","Present"
"AVX-512 Doubleword and Quadword Instructions","Present"
"AVX-512 Byte and Word Instructions","Present"
"AVX-512 Vector Length Extensions","Present"
"AVX-512 52-bit Integer FMA Instructions","Present"
"Secure Hash Algorithm (SHA) Extensions","Present"
"Software Guard Extensions (SGX) Support","Present"
"Supervisor Mode Execution Protection (SMEP)","Present"
"Supervisor Mode Access Prevention (SMAP)","Present"
"Hardware Lock Elision (HLE)","Not Present"
"Restricted Transactional Memory (RTM)","Not Present"
"Memory Protection Extensions (MPX)","Not Present"
"Read/Write FS/GS Base Instructions","Present"
"Enhanced Performance String Instruction","Present"
"INVPCID Instruction","Present"
"RDSEED Instruction","Present"
"Multi-precision Add Carry Instructions (ADX)","Present"
"PCOMMIT Instructions","Not Present"
"CLFLUSHOPT Instructions","Present"
"CLWB Instructions","Not Present"
"TSC_THREAD_OFFSET","Present"
"Platform Quality of Service Monitoring (PQM)","Not Present"
"Platform Quality of Service Enforcement (PQE)","Not Present"
"FPU Data Pointer updated only on x87 Exceptions","Present"
"Deprecated FPU CS and FPU DS","Present"
"Intel Processor Trace","Present"
"PREFETCHWT1 Instruction","Not Present"
"AVX-512 Vector Bit Manipulation Instructions","Present"
"AVX-512 Vector Bit Manipulation Instructions 2","Present"
"AVX-512 Galois Fields New Instructions","Present"
"AVX-512 Vector AES","Present"
"AVX-512 Vector Neural Network Instructions","Present"
"AVX-512 Bit Algorithms","Present"
"AVX-512 Carry-Less Multiplication Quadword (VPCLMULQDQ)","Present"
"AVX-512 Vector POPCNT (VPOPCNTD/VPOPCNTQ)","Present"
"User-Mode Instruction Prevention","Present"
"Protection Keys for User-mode Pages","Present"
"OS Enabled Protection Keys","Not Present"
"Wait and Pause Enhancements (WAITPKG)","Not Present"
"Total Memory Encryption","Not Present"
"Read Processor ID","Present"
"Cache Line Demote","Not Present"
