
DESKTOP-71E3E3M

"Computer Name:","DESKTOP-71E3E3M"
"Computer Brand Name:","LENOVO 81C4"
"Operating System:","Microsoft Windows 10 Professional (x64) Build 17763.805 (1809/RS5)"
"UEFI Boot:","Present"
"Secure Boot:","Present"

Central Processor(s)

"Number Of Processor Packages (Physical):","1"
"Number Of Processor Cores:","4"
"Number Of Logical Processors:","8"

Intel Core i5-8250U

"Processor Name:","Intel Core i5-8250U"
"Original Processor Frequency:","1800.0 MHz"
"Original Processor Frequency [MHz]:","1800"
"CPU ID:","000806EA"
"CPU Brand Name:","Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz"
"CPU Vendor:","GenuineIntel"
"CPU Stepping:","Y0"
"CPU Code Name:","Kaby Lake-R U4+2"
"CPU Technology:","14 nm"
"CPU S-Spec:","SR3LA, SR3LB"
"CPU Thermal Design Power (TDP):","15.0 W"
"CPU Power Limit 4 (PL4):","71.0 W"
"CPU Power Limits (Max):","Power = Unlimited, Time = Unlimited"
"CPU Power Limit 1 - Long Duration:"," (22.00 W) (28.00 sec) [Unlocked]"
"CPU Power Limit 2 - Short Duration:"," (36.00 W) (2.44 ms) [Unlocked]"
"Configurable TDP Level 1 (Down):","10.00 W (Unlimited range), 800 MHz"
"Configurable TDP Level 2 (Up):","25.00 W (Unlimited range), 1800 MHz"
"Current Configurable TDP Level:","Nominal [Unlocked]"
"CPU Max. Junction Temperature (Tj,max):","100 °C"
"CPU Type:","Production Unit"
"CPU Platform:","BGA1356"
"Microcode Update Revision:","96"
"Number of CPU Cores:","4"
"Number of Logical CPUs:","8"
"CPU MFM (LowPower):","400.0 MHz = 4 x 100.0 MHz"
"CPU LFM (Minimum):","400.0 MHz = 4 x 100.0 MHz"
"CPU HFM (Base):","1800.0 MHz = 18 x 100.0 MHz"
"CPU Turbo Max:","3400.0 MHz = 34 x 100.0 MHz [Unlocked]"
"Turbo Ratio Limits:","34x (1-4c)"
"CPU Current:","1396.9 MHz = 14 x 99.8 MHz @ 0.6921 V"
"LLC/Ring Maximum:","3100.0 MHz = 31.00 x 100.0 MHz"
"LLC/Ring Current:","1097.6 MHz = 11.00 x 99.8 MHz"
"System Agent Current:","399.1 MHz = 4.00 x 99.8 MHz"
"CPU Bus Type:","Intel Direct Media Interface (DMI) v2.0"
"Ring to Core Offset:","Enabled"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","34x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","64.00 A"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","22x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","31.00 A"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","31x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","64.00 A"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","22x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","31.00 A"
"Voltage Offset:","Supported"
"Voltage Override:","Not Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","N/A"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","6.00 A"
"L1 Cache:","Instruction: 4 x 32 KBytes, Data: 4 x 32 KBytes"
"L2 Cache:","Integrated: 4 x 256 KBytes"
