
DESKTOP-4HH3VIE

"Computer Name:","DESKTOP-4HH3VIE"
"Computer Description:",""
"Computer Brand Name:","HP HP ENVY x360 Convertible 15-dr1xxx"
"Operating System:","Microsoft Windows 10 Home (x64) Build 18362.356 (1903/May 2019 Update)"
"UEFI Boot:","Present"
"Secure Boot:","Present"

Central Processor(s)

"Number Of Processor Packages (Physical):","1"
"Number Of Processor Cores:","4"
"Number Of Logical Processors:","8"

Intel Core i7-10510U

"Processor Name:","Intel Core i7-10510U"
"Original Processor Frequency:","2300.0 MHz"
"Original Processor Frequency [MHz]:","2300"
"CPU ID:","000806EC"
"CPU Brand Name:","Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz"
"CPU Vendor:","GenuineIntel"
"CPU Stepping:","V0"
"CPU Code Name:","Comet Lake-U v1 LP3"
"CPU Technology:","14 nm"
"CPU S-Spec:","SRGKW"
"CPU Thermal Design Power (TDP):","15.0 W"
"CPU Power Limit 4 (PL4):","82.0 W"
"CPU Power Limits (Max):","Power = Unlimited, Time = Unlimited"
"CPU Power Limit 1 - Long Duration:"," (15.00 W) (28.00 sec) [Unlocked]"
"CPU Power Limit 2 - Short Duration:"," (35.00 W) (2.44 ms) [Unlocked]"
"Configurable TDP Level 1 (Down):","10.00 W (Unlimited range), 800 MHz"
"Configurable TDP Level 2 (Up):","25.00 W (Unlimited range), 2300 MHz"
"Current Configurable TDP Level:","Nominal [Unlocked]"
"CPU Max. Junction Temperature (Tj,max):","100 °C"
"CPU Type:","Production Unit"
"CPU Platform:","BGA1528"
"Microcode Update Revision:","BE"
"Number of CPU Cores:","4"
"Number of Logical CPUs:","8"
"CPU MFM (LowPower):","400.0 MHz = 4 x 100.0 MHz"
"CPU LFM (Minimum):","400.0 MHz = 4 x 100.0 MHz"
"CPU HFM (Base):","2300.0 MHz = 23 x 100.0 MHz"
"CPU Turbo Max:","4900.0 MHz = 49 x 100.0 MHz [Unlocked]"
"Turbo Ratio Limits:","49x (1c), 48x (2c), 43x (3-4c)"
"CPU Current:","3392.5 MHz = 34 x 99.8 MHz @ 0.9866 V"
"LLC/Ring Maximum:","4600.0 MHz = 46.00 x 100.0 MHz"
"LLC/Ring Current:","3093.2 MHz = 31.00 x 99.8 MHz"
"System Agent Current:","798.2 MHz = 8.00 x 99.8 MHz"
"CPU Bus Type:","Intel Direct Media Interface (DMI) v2.0"
"Ring to Core Offset:","Enabled"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","49x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","70.00 A"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","23x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","31.00 A"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","46x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","70.00 A"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","23x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","31.00 A"
"Voltage Offset:","Supported"
"Voltage Override:","Not Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","N/A"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","6.00 A"
"L1 Cache:","Instruction: 4 x 32 KBytes, Data: 4 x 32 KBytes"
"L2 Cache:","Integrated: 4 x 256 KBytes"
"L3 Cache:","8 MBytes"
"Instruction TLB:","2MB/4MB Pages, Fully associative, 8 entries"
"Data TLB:","4 KB Pages, 4-way set associative, 64 entries"
"FPU on Chip","Present"
"Enhanced Virtual-86 Mode","Present"
"I/O Breakpoints","Present"
"Page Size Extensions","Present"
"Time Stamp Counter","Present"
"Pentium-style Model Specific Registers","Present"
"Physical Address Extension","Present"
"Machine Check Exception","Present"
"CMPXCHG8B Instruction","Present"
"APIC On Chip / PGE (AMD)","Present"
"Fast System Call","Present"
"Memory Type Range Registers","Present"
"Page Global Feature","Present"
"Machine Check Architecture","Present"
"CMOV Instruction","Present"
"Page Attribute Table","Present"
"36-bit Page Size Extensions","Present"
"Processor Number","Not Present"
"CLFLUSH Instruction","Present"
"Debug Trace and EMON Store","Present"
"Internal ACPI Support","Present"
"MMX Technology","Present"
"Fast FP Save/Restore (IA MMX-2)","Present"
"Streaming SIMD Extensions","Present"
"Streaming SIMD Extensions 2","Present"
"Self-Snoop","Present"
"Multi-Threading Capable","Present"
"Automatic Clock Control","Present"
