
MSI

"Computer Name:","MSI"
"Computer Brand Name:","MSI Prestige 15 A10SC"
"Operating System:","Microsoft Windows 10 Professional (x64) Build 18362.388 (1903/May 2019 Update)"
"UEFI Boot:","Present"
"Secure Boot:","Not Present"

Central Processor(s)

"Number Of Processor Packages (Physical):","1"
"Number Of Processor Cores:","6"
"Number Of Logical Processors:","12"

Intel Core i7-10710U

"Processor Name:","Intel Core i7-10710U"
"Original Processor Frequency:","1600.0 MHz"
"Original Processor Frequency [MHz]:","1600"
"CPU ID:","000A0660"
"CPU Brand Name:","Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz"
"CPU Vendor:","GenuineIntel"
"CPU Stepping:","A0"
"CPU Code Name:","Comet Lake-U v1 LP3"
"CPU Technology:","14 nm"
"CPU QDF:","QSBE, QT85 (Pre-QS)"
"CPU Thermal Design Power (TDP):","15.0 W"
"CPU Power Limit 4 (PL4):","90.0 W"
"CPU Power Limits (Max):","Power = Unlimited, Time = Unlimited"
"CPU Power Limit 1 - Long Duration:"," (45.00 W) (28.00 sec) [Unlocked]"
"CPU Power Limit 2 - Short Duration:"," (64.00 W) (2.44 ms) [Unlocked]"
"Configurable TDP Level 1 (Down):","12.50 W (Unlimited range), 800 MHz"
"Configurable TDP Level 2 (Up):","25.00 W (Unlimited range), 1600 MHz"
"Current Configurable TDP Level:","Nominal [Unlocked]"
"CPU Max. Junction Temperature (Tj,max):","100 °C"
"CPU Type:","Engineering Sample"
"CPU Platform:","BGA1528"
"Microcode Update Revision:","B4"
"Number of CPU Cores:","6"
"Number of Logical CPUs:","12"
"CPU MFM (LowPower):","400.0 MHz = 4 x 100.0 MHz"
"CPU LFM (Minimum):","400.0 MHz = 4 x 100.0 MHz"
"CPU HFM (Base):","1600.0 MHz = 16 x 100.0 MHz"
"CPU Turbo Max:","4700.0 MHz = 47 x 100.0 MHz [Unlocked]"
"Turbo Ratio Limits:","47x (1-2c), 41x (3-4c), 39x (5-8c)"
"CPU Current:","4090.0 MHz = 41 x 99.8 MHz @ 1.0973 V"
"LLC/Ring Maximum:","4400.0 MHz = 44.00 x 100.0 MHz"
"LLC/Ring Current:","3790.7 MHz = 38.00 x 99.8 MHz"
"System Agent Current:","399.0 MHz = 4.00 x 99.8 MHz"
"CPU Bus Type:","Intel Direct Media Interface (DMI) v2.0"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","47x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","85.00 A"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","23x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","31.00 A"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","44x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","85.00 A"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","23x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","31.00 A"
"Voltage Offset:","Supported"
"Voltage Override:","Not Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","N/A"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","6.00 A"
"L1 Cache:","Instruction: 6 x 32 KBytes, Data: 6 x 32 KBytes"
