
DESKTOP-TEIQM7R

"Computer Name:","DESKTOP-TEIQM7R"
"Computer Description:",""
"Computer Brand Name:","HP HP Spectre x360 Convertible 15-df1xxx"
"Operating System:","Microsoft Windows 10 Home (x64) Build 18362.295 (1903/May 2019 Update)"
"UEFI Boot:","Present"
"Secure Boot:","Present"

Central Processor(s)

"Number Of Processor Packages (Physical):","1"
"Number Of Processor Cores:","6"
"Number Of Logical Processors:","12"

Intel Core i7-9750H

"Processor Name:","Intel Core i7-9750H"
"Original Processor Frequency:","2600.0 MHz"
"Original Processor Frequency [MHz]:","2600"
"CPU ID:","000906EA"
"CPU Brand Name:","Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz"
"CPU Vendor:","GenuineIntel"
"CPU Stepping:","U0"
"CPU Code Name:","Coffee Lake-H"
"CPU Technology:","14 nm"
"CPU S-Spec:","SRF6U"
"CPU Thermal Design Power (TDP):","45.0 W"
"CPU Power Limit 4 (PL4):","163.0 W"
"CPU Power Limits (Max):","Power = Unlimited, Time = Unlimited"
"CPU Power Limit 1 - Long Duration:"," (45.00 W) (28.00 sec) [Unlocked]"
"CPU Power Limit 2 - Short Duration:"," (53.00 W) (2.44 ms) [Unlocked]"
"Configurable TDP Level 1 (Down):","35.00 W (Unlimited range), 2200 MHz"
"Current Configurable TDP Level:","Nominal [Unlocked]"
"CPU Max. Junction Temperature (Tj,max):","100 °C"
"CPU Type:","Production Unit"
"CPU Platform:","BGA1440"
"Microcode Update Revision:","B4"
"Favored Cores List:","0, 1, 2, 3, 4, 5"
"Number of CPU Cores:","6"
"Number of Logical CPUs:","12"
"CPU MFM (LowPower):","800.0 MHz = 8 x 100.0 MHz"
"CPU LFM (Minimum):","800.0 MHz = 8 x 100.0 MHz"
"CPU HFM (Base):","2600.0 MHz = 26 x 100.0 MHz"
"CPU Turbo Max:","4500.0 MHz = 45 x 100.0 MHz [Unlocked]"
"Turbo Ratio Limits - IA/SSE:","45x (1c), 44x (2c), 43x (3c), 42x (4c), 41x (5c), 40x (6c)"
"Turbo Ratio Limits - AVX2, Resolved:","45x (1c), 44x (2c), 43x (3c), 42x (4c), 41x (5c), 40x (6c)"
"CPU Current:","3491.5 MHz = 35 x 99.8 MHz @ 1.0430 V"
"LLC/Ring Maximum:","4200.0 MHz = 42.00 x 100.0 MHz"
"LLC/Ring Current:","3990.2 MHz = 40.00 x 99.8 MHz"
"System Agent Current:","997.6 MHz = 10.00 x 99.8 MHz"
"CPU Bus Type:","Intel Direct Media Interface (DMI) v3.0"
"Maximum DMI Link Speed:","8.0 GT/s"
"Current DMI Link Speed:","8.0 GT/s"
"Ring to Core Offset:","Enabled"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","45x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","140.00 A"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Supported"
"Fused Ratio Limit:","60x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","32.00 A"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","42x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","140.00 A"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Supported"
"Fused Ratio Limit:","60x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","32.00 A"
"Voltage Offset:","Supported"
"Voltage Override:","Not Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","N/A"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","11.00 A"
"IA Domain Loadline (AC/DC):","1.800 / 1.800 mOhm"
"GT Domain Loadline (AC/DC):","2.700 / 2.700 mOhm"
"L1 Cache:","Instruction: 6 x 32 KBytes, Data: 6 x 32 KBytes"
"L2 Cache:","Integrated: 6 x 256 KBytes"
"L3 Cache:","12 MBytes"
"Instruction TLB:","2MB/4MB Pages, Fully associative, 8 entries"
"Data TLB:","4 KB Pages, 4-way set associative, 64 entries"
"FPU on Chip","Present"
"Enhanced Virtual-86 Mode","Present"
"I/O Breakpoints","Present"
"Page Size Extensions","Present"
"Time Stamp Counter","Present"
"Pentium-style Model Specific Registers","Present"
"Physical Address Extension","Present"
"Machine Check Exception","Present"
"CMPXCHG8B Instruction","Present"
"APIC On Chip / PGE (AMD)","Present"
"Fast System Call","Present"
"Memory Type Range Registers","Present"
"Page Global Feature","Present"
"Machine Check Architecture","Present"
"CMOV Instruction","Present"
"Page Attribute Table","Present"
"36-bit Page Size Extensions","Present"
"Processor Number","Not Present"
"CLFLUSH Instruction","Present"
"Debug Trace and EMON Store","Present"
"Internal ACPI Support","Present"
"MMX Technology","Present"
"Fast FP Save/Restore (IA MMX-2)","Present"
"Streaming SIMD Extensions","Present"
"Streaming SIMD Extensions 2","Present"
"Self-Snoop","Present"
"Multi-Threading Capable","Present"
"Automatic Clock Control","Present"
"IA-64 Processor","Not Present"
"Signal Break on FERR","Present"
"Virtual Machine Extensions (VMX)","Present"
"Safer Mode Extensions (Intel TXT)","Not Present"
"Streaming SIMD Extensions 3","Present"
"Supplemental Streaming SIMD Extensions 3","Present"
"Streaming SIMD Extensions 4.1","Present"
"Streaming SIMD Extensions 4.2","Present"
"AVX Support","Present"
"Fused Multiply Add (FMA)","Present"
"Carryless Multiplication (PCLMULQDQ)/GFMUL","Present"
"CMPXCHG16B Support","Present"
"MOVBE Instruction","Present"
"POPCNT Instruction","Present"
"XSAVE/XRSTOR/XSETBV/XGETBV Instructions","Present"
"XGETBV/XSETBV OS Enabled","Present"
"Float16 Instructions","Present"
"AES Cryptography Support","Present"
"Random Number Read Instruction (RDRAND)","Present"
"Extended xAPIC","Present"
"MONITOR/MWAIT Support","Present"
"Thermal Monitor 2","Present"
"Enhanced SpeedStep Technology","Present"
"L1 Context ID","Not Present"
"Send Task Priority Messages Disabling","Present"
"Processor Context ID","Present"
"Direct Cache Access","Not Present"
"TSC-deadline Timer","Present"
"Performance/Debug Capability MSR","Present"
"IA32 Debug Interface Support","Present"
"64-Bit Debug Store","Present"
"CPL Qualified Debug Store","Present"
"64-bit Extensions","Present"
"RDTSCP and TSC_AUX Support","Present"
"1 GB large page support","Present"
"No Execute","Present"
"SYSCALL/SYSRET Support","Present"
"Bit Manipulation Instructions Set 1","Present"
"Bit Manipulation Instructions Set 2","Present"
"Advanced Vector Extensions 2 (AVX2)","Present"
"Advanced Vector Extensions 512 (AVX-512)","Not Present"
"AVX-512 Prefetch Instructions","Not Present"
"AVX-512 Exponential and Reciprocal Instructions","Not Present"
"AVX-512 Conflict Detection Instructions","Not Present"
"AVX-512 Doubleword and Quadword Instructions","Not Present"
"AVX-512 Byte and Word Instructions","Not Present"
"AVX-512 Vector Length Extensions","Not Present"
"AVX-512 52-bit Integer FMA Instructions","Not Present"
"Secure Hash Algorithm (SHA) Extensions","Not Present"
"Software Guard Extensions (SGX) Support","Present"
"Supervisor Mode Execution Protection (SMEP)","Present"
"Supervisor Mode Access Prevention (SMAP)","Present"
"Hardware Lock Elision (HLE)","Not Present"
"Restricted Transactional Memory (RTM)","Not Present"
"Memory Protection Extensions (MPX)","Present"
"Read/Write FS/GS Base Instructions","Present"
"Enhanced Performance String Instruction","Present"
"INVPCID Instruction","Present"
"RDSEED Instruction","Present"
"Multi-precision Add Carry Instructions (ADX)","Present"
"PCOMMIT Instructions","Not Present"
"CLFLUSHOPT Instructions","Present"
"CLWB Instructions","Not Present"
"TSC_THREAD_OFFSET","Present"
"Platform Quality of Service Monitoring (PQM)","Not Present"
"Platform Quality of Service Enforcement (PQE)","Not Present"
"FPU Data Pointer updated only on x87 Exceptions","Not Present"
"Deprecated FPU CS and FPU DS","Present"
"Intel Processor Trace","Present"
"PREFETCHWT1 Instruction","Not Present"
