
DESKTOP-MKCPKTI

"Computer Name:","DESKTOP-MKCPKTI"
"Computer Description:",""
"Computer Brand Name:","HP HP EliteBook x360 1040 G6"
"Operating System:","Microsoft Windows 10 Professional (x64) Build 17763.737 (1809/RS5)"
"UEFI Boot:","Present"
"Secure Boot:","Present"

Central Processor(s)

"Number Of Processor Packages (Physical):","1"
"Number Of Processor Cores:","4"
"Number Of Logical Processors:","8"

Intel Core i7-8665U

"Processor Name:","Intel Core i7-8665U"
"Original Processor Frequency:","2100.0 MHz"
"Original Processor Frequency [MHz]:","2100"
"CPU ID:","000806EC"
"CPU Brand Name:","Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz"
"CPU Vendor:","GenuineIntel"
"CPU Stepping:","V0"
"CPU Code Name:","Whiskey Lake-U"
"CPU Technology:","14 nm"
"CPU S-Spec:","SRF9W"
"CPU Thermal Design Power (TDP):","15.0 W"
"CPU Power Limit 4 (PL4):","71.0 W"
"CPU Power Limits (Max):","Power = Unlimited, Time = Unlimited"
"CPU Power Limit 1 - Long Duration:"," (18.00 W) (28.00 sec) [Unlocked]"
"CPU Power Limit 2 - Short Duration:"," (26.00 W) (2.44 ms) [Unlocked]"
"Configurable TDP Level 1 (Down):","10.00 W (Unlimited range), 800 MHz"
"Configurable TDP Level 2 (Up):","25.00 W (Unlimited range), 2100 MHz"
"Current Configurable TDP Level:","Nominal [Unlocked]"
"CPU Max. Junction Temperature (Tj,max):","100 °C"
"CPU Type:","Production Unit"
"CPU Platform:","BGA1528"
"Microcode Update Revision:","B4"
"Number of CPU Cores:","4"
"Number of Logical CPUs:","8"
"CPU MFM (LowPower):","400.0 MHz = 4 x 100.0 MHz"
"CPU LFM (Minimum):","400.0 MHz = 4 x 100.0 MHz"
"CPU HFM (Base):","2100.0 MHz = 21 x 100.0 MHz"
"CPU Turbo Max:","4800.0 MHz = 48 x 100.0 MHz [Unlocked]"
"Turbo Ratio Limits:","48x (1c), 47x (2c), 42x (3-4c)"
"CPU Current:","3291.1 MHz = 33 x 99.7 MHz @ 0.9810 V"
"LLC/Ring Maximum:","4500.0 MHz = 45.00 x 100.0 MHz"
"LLC/Ring Current:","2991.9 MHz = 30.00 x 99.7 MHz"
"System Agent Current:","797.8 MHz = 8.00 x 99.7 MHz"
"CPU Bus Type:","Intel Direct Media Interface (DMI) v2.0"
"Ring to Core Offset:","Enabled"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","48x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","70.00 A"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","23x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","31.00 A"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","45x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","70.00 A"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","23x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
"IccMax:","31.00 A"
"Voltage Offset:","Supported"
"Voltage Override:","Not Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","N/A"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Interpolative"
"Voltage Offset:","0 mV"
