
LENOVO-PC

"Computer Name:","LENOVO-PC"
"Computer Brand Name:","LENOVO F0AU009TUK"
"Operating System:","Microsoft Windows 8.1 Home (x64) Build 9600"
"UEFI Boot:","Present"
"Secure Boot:","Present"

Central Processor(s)

"Number Of Processor Packages (Physical):","1"
"Number Of Processor Cores:","4"
"Number Of Logical Processors:","8"

Intel Core i7-4785T

"Processor Name:","Intel Core i7-4785T"
"Original Processor Frequency:","2200.0 MHz"
"Original Processor Frequency [MHz]:","2200"
"CPU ID:","000306C3"
"CPU Brand Name:","Intel(R) Core(TM) i7-4785T CPU @ 2.20GHz"
"CPU Vendor:","GenuineIntel"
"CPU Stepping:","C0"
"CPU Code Name:","Haswell-DT Refresh"
"CPU Technology:","22 nm"
"CPU S-Spec:","SR1QU"
"CPU Thermal Design Power (TDP):","35.0 W"
"CPU Thermal Design Current (TDC):","48.0 A"
"CPU Power Limits (Max):","Power = Unlimited, Time = Unlimited"
"CPU Power Limit 1 - Long Duration:","Power = 35.00 W, Time = 8.00 sec [Locked]"
"CPU Power Limit 2 - Short Duration:","Power = 43.75 W, Time = 2.44 ms [Locked]"
"CPU Max. Junction Temperature (Tj,max):","75 °C"
"CPU Type:","Production Unit"
"CPU Platform:","Socket H3 (LGA1150)"
"Microcode Update Revision:","1A"
"Number of CPU Cores:","4"
"Number of Logical CPUs:","8"
"CPU LFM (Minimum):","800.0 MHz = 8 x 100.0 MHz"
"CPU HFM (Base):","2200.0 MHz = 22 x 100.0 MHz"
"CPU Turbo Max:","3200.0 MHz = 32 x 100.0 MHz [Unlocked]"
"Turbo Ratio Limits:","32x (1c), 31x (2c), 29x (3c), 28x (4c)"
"CPU Current:","2394.7 MHz = 24 x 99.8 MHz @ 0.8053 V"
"LLC/Ring Maximum:","3200.0 MHz = 32.00 x 100.0 MHz"
"LLC/Ring Current:","2394.7 MHz = 24.00 x 99.8 MHz"
"CPU Bus Type:","Intel Direct Media Interface (DMI) v2.0"
"Maximum DMI Link Speed:","5.0 GT/s"
"Current DMI Link Speed:","5.0 GT/s"
"PCI-Express Current Clock:","99.8 MHz = 1.00 x 99.8 MHz"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","32x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Adaptive"
"Voltage Offset:","0 mV"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Supported"
"Fused Ratio Limit:","57x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Adaptive"
"Voltage Offset:","0 mV"
"Voltage Offset:","Supported"
"Voltage Override:","Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","32x"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Adaptive"
"Voltage Offset:","0 mV"
"Voltage Offset:","Supported"
"Voltage Override:","Not Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","N/A"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Adaptive"
"Voltage Offset:","0 mV"
"Voltage Offset:","Supported"
"Voltage Override:","Not Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","N/A"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Adaptive"
"Voltage Offset:","0 mV"
"Voltage Offset:","Supported"
"Voltage Override:","Not Supported"
"Ratio Overclocking:","Not Supported"
"Fused Ratio Limit:","N/A"
"OC Ratio Limit:","N/A"
"Voltage Mode:","Adaptive"
"Voltage Offset:","0 mV"
"L1 Cache:","Instruction: 4 x 32 KBytes, Data: 4 x 32 KBytes"
"L2 Cache:","Integrated: 4 x 256 KBytes"
"L3 Cache:","8 MBytes"
"Instruction TLB:","2MB/4MB Pages, Fully associative, 8 entries"
"Data TLB:","4 KB Pages, 4-way set associative, 64 entries"
"FPU on Chip","Present"
"Enhanced Virtual-86 Mode","Present"
"I/O Breakpoints","Present"
"Page Size Extensions","Present"
"Time Stamp Counter","Present"
"Pentium-style Model Specific Registers","Present"
"Physical Address Extension","Present"
"Machine Check Exception","Present"
"CMPXCHG8B Instruction","Present"
"APIC On Chip / PGE (AMD)","Present"
"Fast System Call","Present"
"Memory Type Range Registers","Present"
"Page Global Feature","Present"
"Machine Check Architecture","Present"
"CMOV Instruction","Present"
"Page Attribute Table","Present"
"36-bit Page Size Extensions","Present"
"Processor Number","Not Present"
"CLFLUSH Instruction","Present"
"Debug Trace and EMON Store","Present"
"Internal ACPI Support","Present"
"MMX Technology","Present"
"Fast FP Save/Restore (IA MMX-2)","Present"
"Streaming SIMD Extensions","Present"
"Streaming SIMD Extensions 2","Present"
"Self-Snoop","Present"
"Multi-Threading Capable","Present"
"Automatic Clock Control","Present"
"IA-64 Processor","Not Present"
"Signal Break on FERR","Present"
"Virtual Machine Extensions (VMX)","Present"
"Safer Mode Extensions (Intel TXT)","Present"
"Streaming SIMD Extensions 3","Present"
"Supplemental Streaming SIMD Extensions 3","Present"
"Streaming SIMD Extensions 4.1","Present"
"Streaming SIMD Extensions 4.2","Present"
"AVX Support","Present"
"Fused Multiply Add (FMA)","Present"
"Carryless Multiplication (PCLMULQDQ)/GFMUL","Present"
"CMPXCHG16B Support","Present"
"MOVBE Instruction","Present"
"POPCNT Instruction","Present"
"XSAVE/XRSTOR/XSETBV/XGETBV Instructions","Present"
"XGETBV/XSETBV OS Enabled","Present"
"Float16 Instructions","Present"
"AES Cryptography Support","Present"
"Random Number Read Instruction (RDRAND)","Present"
"Extended xAPIC","Present"
"MONITOR/MWAIT Support","Present"
"Thermal Monitor 2","Present"
"Enhanced SpeedStep Technology","Present"
"L1 Context ID","Not Present"
"Send Task Priority Messages Disabling","Present"
"Processor Context ID","Present"
"Direct Cache Access","Not Present"
"TSC-deadline Timer","Present"
"Performance/Debug Capability MSR","Present"
"IA32 Debug Interface Support","Present"
"64-Bit Debug Store","Present"
"CPL Qualified Debug Store","Present"
"64-bit Extensions","Present"
"RDTSCP and TSC_AUX Support","Present"
"1 GB large page support","Present"
"No Execute","Present"
"SYSCALL/SYSRET Support","Present"
"Bit Manipulation Instructions Set 1","Present"
"Bit Manipulation Instructions Set 2","Present"
"Advanced Vector Extensions 2 (AVX2)","Present"
"Advanced Vector Extensions 512 (AVX-512)","Not Present"
"AVX-512 Prefetch Instructions","Not Present"
"AVX-512 Exponential and Reciprocal Instructions","Not Present"
